,date,open,high,low,close,volume
93410,202308290915,33375,33450,33365,33450,70865
93411,202308290920,33445,33485,33445,33480,48354
93412,202308290925,33480,33490,33455,33470,17586
93413,202308290930,33470,33480,33430,33435,6800
93414,202308290935,33430,33450,33390,33400,16460
93415,202308290940,33400,33450,33400,33440,13060
93416,202308290945,33435,33440,33390,33400,8586
93417,202308290950,33400,33435,33400,33430,5085
93418,202308290955,33425,33435,33400,33405,8499
93419,202308291000,33405,33415,33385,33390,20587
93485,202308300905,33790,33825,33785,33790,124726
93486,202308300910,33785,33805,33775,33785,27888
93487,202308300915,33790,33800,33755,33755,19374
93488,202308300920,33760,33780,33750,33760,23728
93489,202308300925,33765,33805,33765,33795,59292
93490,202308300930,33790,33790,33760,33760,16202
93491,202308300935,33755,33770,33740,33760,13185
93492,202308300940,33760,33770,33740,33765,33401
93493,202308300945,33765,33770,33745,33750,17717
93494,202308300950,33750,33770,33735,33765,37521
93495,202308300955,33770,33775,33735,33745,11698
93496,202308301000,33745,33755,33740,33740,6009
93562,202308310905,33630,33635,33595,33630,76071
93563,202308310910,33630,33670,33625,33670,29849
93564,202308310915,33670,33675,33635,33645,20747
93565,202308310920,33640,33660,33635,33650,5036
93566,202308310925,33655,33655,33615,33620,11865
93567,202308310930,33615,33625,33600,33615,17014
93568,202308310935,33605,33620,33595,33600,18719
93569,202308310940,33595,33600,33560,33570,30162
93570,202308310945,33570,33570,33545,33560,18159
93571,202308310950,33555,33575,33540,33575,34706
93572,202308310955,33580,33590,33565,33565,6326
93573,202308311000,33565,33580,33555,33570,4818
93639,202309010905,33485,33625,33475,33615,101338
93640,202309010910,33620,33650,33610,33640,27270
93641,202309010915,33640,33655,33605,33605,12989
93642,202309010920,33605,33655,33600,33645,18448
93643,202309010925,33645,33740,33645,33730,83027
93644,202309010930,33725,33750,33720,33750,50028
93645,202309010935,33750,33795,33735,33770,44400
93646,202309010940,33765,33840,33765,33840,51035
93647,202309010945,33835,33835,33795,33820,23491
93648,202309010950,33810,33820,33795,33815,12442
93649,202309010955,33815,33820,33800,33800,6846
93650,202309011000,33795,33800,33755,33770,31879
93716,202309040905,34010,34040,33965,33985,47874
93717,202309040910,33995,34035,33975,33980,14568
93718,202309040915,33985,34015,33970,33995,42069
93719,202309040920,33995,34025,33985,34005,52911
93720,202309040925,34005,34035,33980,33985,33335
93721,202309040930,33985,34015,33960,34010,23178
93722,202309040935,34010,34040,34005,34035,17131
93723,202309040940,34035,34050,34020,34040,20606
93724,202309040945,34040,34045,33990,34000,11486
93725,202309040950,34000,34040,34000,34030,5262
93726,202309040955,34025,34035,34000,34005,22964
93727,202309041000,34005,34005,33980,33980,11348
93793,202309050905,34040,34195,34040,34175,44265
93794,202309050910,34180,34180,34085,34085,15138
93795,202309050915,34090,34130,34080,34095,7408
93796,202309050920,34095,34140,34095,34130,8263
93797,202309050925,34130,34155,34110,34110,4582
93798,202309050930,34105,34135,34090,34120,13859
93799,202309050935,34125,34145,34100,34110,7435
93800,202309050940,34110,34115,34075,34085,58327
93801,202309050945,34085,34095,34060,34065,29315
93802,202309050950,34060,34070,34050,34065,14019
93803,202309050955,34055,34065,34035,34050,6052
93804,202309051000,34045,34070,34040,34040,6679
93870,202309060905,34025,34065,34010,34025,116910
93871,202309060910,34030,34065,34015,34065,42330
93872,202309060915,34065,34065,34035,34060,6244
93873,202309060920,34060,34060,34020,34030,8875
93874,202309060925,34030,34090,34030,34085,10441
93875,202309060930,34080,34100,34075,34090,8817
93876,202309060935,34095,34125,34090,34105,15568
93877,202309060940,34105,34110,34060,34070,5731
93878,202309060945,34070,34070,34030,34035,12749
93879,202309060950,34025,34040,34020,34040,27806
93880,202309060955,34030,34040,34005,34035,38106
93881,202309061000,34040,34050,34035,34050,19175
93947,202309070905,33755,33855,33755,33800,96569
93948,202309070910,33800,33830,33780,33800,44727
93949,202309070915,33800,33815,33770,33770,13100
93950,202309070920,33770,33800,33770,33795,18317
93951,202309070925,33800,33820,33760,33765,22736
93952,202309070930,33760,33775,33730,33740,14335
93953,202309070935,33735,33750,33725,33735,13281
93954,202309070940,33735,33760,33720,33740,20057
93955,202309070945,33740,33740,33720,33725,5928
93956,202309070950,33725,33745,33695,33710,12924
93957,202309070955,33710,33715,33695,33700,5731
93958,202309071000,33695,33715,33695,33710,2915
94024,202309080905,33725,33725,33635,33670,50180
94025,202309080910,33660,33705,33640,33680,17897
94026,202309080915,33670,33710,33670,33700,25274
94027,202309080920,33700,33740,33695,33725,32572
94028,202309080925,33725,33730,33665,33675,18989
94029,202309080930,33670,33670,33595,33595,47400
94030,202309080935,33595,33600,33560,33590,30043
94031,202309080940,33590,33610,33575,33595,19777
94032,202309080945,33595,33595,33570,33570,16150
94033,202309080950,33570,33595,33570,33585,6815
94034,202309080955,33585,33610,33580,33600,6138
94035,202309081000,33600,33620,33600,33615,8833
94101,202309110905,33745,33795,33735,33740,164079
94102,202309110910,33730,33740,33665,33675,29856
94103,202309110915,33670,33685,33625,33635,19251
94104,202309110920,33645,33680,33630,33680,35829
94105,202309110925,33680,33720,33675,33710,62218
94106,202309110930,33710,33760,33700,33750,39451
94107,202309110935,33740,33770,33730,33750,12972
94108,202309110940,33755,33770,33720,33725,7958
94109,202309110945,33730,33750,33725,33730,5439
94110,202309110950,33735,33740,33685,33685,9292
94111,202309110955,33685,33710,33680,33700,7625
94112,202309111000,33695,33695,33670,33690,29125
94178,202309120905,33940,33970,33900,33910,91613
94179,202309120910,33905,33910,33855,33890,48953
94180,202309120915,33885,33890,33850,33855,37350
94181,202309120920,33855,33895,33855,33860,22278
94182,202309120925,33865,33870,33830,33845,52420
94183,202309120930,33850,33860,33835,33840,16854
94184,202309120935,33840,33860,33805,33855,29536
94185,202309120940,33855,33860,33830,33830,10417
94186,202309120945,33830,33840,33810,33820,21840
94187,202309120950,33820,33825,33805,33805,44810
94188,202309120955,33810,33830,33795,33810,88445
94189,202309121000,33805,33810,33775,33780,42559
94255,202309130905,33650,33740,33650,33730,86106
94256,202309130910,33740,33830,33740,33805,85249
94257,202309130915,33805,33820,33785,33795,23363
94258,202309130920,33790,33800,33770,33785,47089
94259,202309130925,33780,33795,33745,33760,22199
94260,202309130930,33760,33800,33755,33795,47301
94261,202309130935,33795,33810,33775,33805,10730
94262,202309130940,33805,33815,33790,33805,14194
94263,202309130945,33805,33810,33785,33795,9236
94264,202309130950,33805,33835,33795,33820,47884
94265,202309130955,33825,33835,33795,33800,8462
94266,202309131000,33795,33800,33780,33780,8737
94332,202309140905,33770,33815,33765,33780,73984
