,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
90,2023-08-03,34275.0,34989.468339626015,34955.0,0.005845174022640853,-0.035845174022640855,0,0,0,0,0,0.10610737432282025
91,2023-08-04,34040.0,34464.54180918695,34460.0,-0.0025281489663057577,-0.027471851033694157,0,0,0,0,0,0.09852356008603369
92,2023-08-07,34250.0,34296.82164145979,34225.0,-0.013632944774896587,-0.016367055225103413,0,0,0,0,0,0.10530058557422595
93,2023-08-08,33900.0,34060.72485544803,34080.0,-0.010258853821591975,-0.019741146178408026,0,0,0,0,0,0.09400554309390552
94,2023-08-09,34005.0,34267.33970098086,34285.0,-0.007285260962186023,-0.022714739037813805,0,0,0,0,0,0.09739405583800176
95,2023-08-10,34175.0,33920.829552237774,33920.0,-0.022437321075705226,-0.007562678924294774,0,0,0,0,0,0.10288021932844327
96,2023-08-11,33890.0,34028.607598790004,34025.0,-0.010910073803776765,-0.01908992619622315,0,0,0,0,0,0.09368282759446811
97,2023-08-14,33435.0,34198.35595882617,34285.0,0.007831044080340252,-0.037831044080340125,0,0,0,0,0,0.07899927237005144
98,2023-08-16,32980.0,33908.79081107417,33915.0,0.013162244119896088,-0.04316224411989602,0,0,0,0,0,0.06431571714563478
99,2023-08-17,32700.0,33449.83142398377,33400.0,0.007930624586659663,-0.03793062458665966,0,0,0,0,0,0.055279683161378435
100,2023-08-18,32985.0,33004.09263894814,32935.0,-0.014421172079789449,-0.015578827920210418,0,0,0,0,0,0.06447707489535381
101,2023-08-21,33135.0,32731.65425141652,32725.0,-0.027172800621200387,-0.0028271993787994825,0,0,0,0,0,0.06931780738691984
102,2023-08-22,32905.0,33008.26763542491,33065.0,-0.011861643050450833,-0.0181383569495491,0,0,0,0,0,0.0618953508998521
103,2023-08-23,33345.0,33162.968075349054,33245.0,-0.020459047073052686,-0.00954095292694727,0,0,0,0,0,0.07609483287511232
104,2023-08-24,32980.0,32927.53694743007,32890.0,-0.016590753564885666,-0.013409246435114267,0,0,0,0,0,0.06431571714563522
105,2023-08-25,33290.0,33374.118779817545,33375.0,-0.012473151702687096,-0.017526848297312818,0,0,0,0,0,0.0743198976282049
106,2023-08-28,33470.0,33011.70963360157,33005.0,-0.028692571449011897,-0.0013074285509880605,0,0,0,0,0,0.08012877661808404
107,2023-08-29,33790.0,33317.27790537025,33255.0,-0.02898999984106989,-0.0010100001589300259,0,0,0,0,0,0.09045567260009135
108,2023-08-30,33630.0,33498.100198586675,33425.0,-0.018922087463970325,-0.011077912536029503,0,0,0,0,0,0.0852922246090877
