,date,volume
980,20221004,370709
981,20221005,920398
982,20221006,512226
983,20221007,369415
984,20221011,412765
985,20221012,980852
986,20221013,489694
987,20221014,596618
988,20221017,566096
989,20221018,494796
990,20221019,466671
991,20221020,318199
992,20221021,561005
993,20221024,657699
994,20221025,289601
995,20221026,333718
996,20221027,292505
997,20221028,461070
998,20221031,533948
999,20221101,213302
1000,20221102,245720
1001,20221103,351740
1002,20221104,208369
1003,20221107,813931
1004,20221108,469194
1005,20221109,310186
1006,20221110,338571
1007,20221111,708786
1008,20221114,299285
1009,20221115,298110
1010,20221116,289906
1011,20221118,134350
1012,20221121,374996
1013,20221122,204516
1014,20221123,292210
1015,20221124,293309
1016,20221125,198324
1017,20221128,391915
1018,20221129,344473
1019,20221130,113808
1020,20221201,438813
1021,20221202,386372
1022,20221205,235676
1023,20221206,254530
1024,20221207,279999
1025,20221208,360386
1026,20221209,296068
1027,20221212,263513
1028,20221213,195078
1029,20221214,294483
1030,20221215,412769
1031,20221216,310797
1032,20221219,261335
1033,20221220,133464
1034,20221221,143028
1035,20221222,187757
1036,20221223,112370
1037,20221226,81492
1038,20221227,106801
1039,20221228,263476
1040,20221229,135558
1041,20230103,356512
1042,20230104,291458
1043,20230105,579094
1044,20230106,255910
1045,20230109,493972
1046,20230110,488167
1047,20230111,233452
1048,20230112,220119
1049,20230113,325712
1050,20230116,251053
1051,20230117,188405
1052,20230118,210372
1053,20230119,399248
1054,20230120,266010
1055,20230125,228686
1056,20230126,132488
1057,20230127,239822
1058,20230130,179448
1059,20230131,322547
1060,20230201,246270
1061,20230202,646385
1062,20230203,242845
1063,20230206,289536
1064,20230207,216071
1065,20230208,326187
1066,20230209,148493
1067,20230210,402485
1068,20230213,480323
1069,20230214,376543
1070,20230215,256541
1071,20230216,519971
1072,20230217,336626
1073,20230220,435021
1074,20230221,208262
1075,20230222,345877
1076,20230223,463171
1077,20230224,184771
1078,20230227,629439
1079,20230228,244448
1080,20230302,620655
1081,20230303,317225
1082,20230306,271857
1083,20230307,144449
1084,20230308,301648
1085,20230309,362752
1086,20230310,330387
1087,20230313,298013
1088,20230314,451005
1089,20230315,470724
1090,20230316,400283
1091,20230317,455784
1092,20230320,220996
1093,20230321,307188
1094,20230322,351473
1095,20230323,196652
1096,20230324,215500
1097,20230327,173530
1098,20230328,155781
1099,20230329,122522
1100,20230330,295492
1101,20230331,192116
1102,20230403,196229
1103,20230404,230558
1104,20230405,229018
1105,20230406,142425
1106,20230407,404002
1107,20230410,460532
1108,20230411,262229
1109,20230412,258778
1110,20230413,272009
1111,20230414,360323
1112,20230417,211346
1113,20230418,340478
1114,20230419,230343
1115,20230420,177835
1116,20230421,226027
1117,20230424,294969
1118,20230425,132631
1119,20230426,152779
1120,20230427,312287
1121,20230428,295818
1122,20230502,450702
1123,20230503,204492
1124,20230504,153529
1125,20230508,311509
1126,20230509,87534
1127,20230510,115507
1128,20230511,153676
1129,20230512,129455
1130,20230515,133876
1131,20230516,167538
1132,20230517,92508
1133,20230518,202369
1134,20230519,155869
1135,20230522,125107
1136,20230523,105211
1137,20230524,91138
1138,20230525,133321
1139,20230526,135443
1140,20230530,367479
1141,20230531,125675
1142,20230601,79437
1143,20230602,161896
1144,20230605,346560
1145,20230607,172976
1146,20230608,92357
1147,20230609,233461
1148,20230612,114535
1149,20230613,127922
1150,20230614,160566
1151,20230615,94534
1152,20230616,138463
1153,20230619,71444
1154,20230620,52765
1155,20230621,99765
1156,20230622,95876
1157,20230623,337808
1158,20230626,67075
1159,20230627,247716
1160,20230628,147562
1161,20230629,232844
1162,20230630,203224
1163,20230703,241190
1164,20230704,102095
1165,20230705,128854
1166,20230706,194157
1167,20230707,181317
1168,20230710,207003
1169,20230711,229389
1170,20230712,91964
1171,20230713,213828
1172,20230714,260076
1173,20230717,145230
1174,20230718,135246
1175,20230719,207483
1176,20230720,154582
1177,20230721,298645
1178,20230724,158668
1179,20230725,277999
1180,20230726,73431
1181,20230727,175536
1182,20230728,174589
1183,20230731,157798
1184,20230801,294174
1185,20230802,222462
1186,20230803,229357
1187,20230804,116104
1188,20230807,111274
1189,20230808,407300
1190,20230809,299800
1191,20230810,76258
1192,20230811,118089
1193,20230814,189445
1194,20230816,252101
1195,20230817,310002
1196,20230818,449228
1197,20230821,192736
1198,20230822,428120
1199,20230823,191118
1200,20230824,298279
1201,20230825,237421
1202,20230828,96969
1203,20230829,198708
1204,20230830,152614
1205,20230831,105920
1206,20230901,128608
1207,20230904,62442
1208,20230905,59403
1209,20230906,159240
1210,20230907,141296
1211,20230908,68077
1212,20230911,193935
1213,20230912,140566
1214,20230913,171355
1215,20230914,119197
1216,20230915,109223
1217,20230918,178426
1218,20230919,167249
1219,20230920,110882
1220,20230921,234609
1221,20230922,295988
1222,20230925,101666
1223,20230926,547844
1224,20230927,185234
1225,20231004,816192
1226,20231005,173366
1227,20231006,225661
1228,20231010,266429
1229,20231011,372691
1230,20231012,399138
1231,20231013,237504
1232,20231016,137533
1233,20231017,190716
1234,20231018,133670
1235,20231019,197275
1236,20231020,336030
1237,20231023,262503
1238,20231024,188098
1239,20231025,293904
1240,20231026,306022
