,date,open
804,20220113,38376
805,20220114,37804
806,20220117,37511
807,20220118,37237
808,20220119,36819
809,20220120,36795
810,20220121,36593
811,20220124,36449
812,20220125,35848
813,20220126,35516
814,20220127,34891
815,20220128,34304
816,20220203,35459
817,20220204,35565
818,20220207,35228
819,20220208,35710
820,20220209,35791
821,20220210,36128
822,20220211,35782
823,20220214,35474
824,20220215,35373
825,20220216,35613
826,20220217,35926
827,20220218,35666
828,20220221,35243
829,20220222,35238
830,20220223,35565
831,20220224,35084
832,20220225,34915
833,20220228,34761
834,20220302,35156
835,20220303,35503
836,20220304,35421
837,20220307,34511
838,20220308,33991
839,20220310,34680
840,20220311,34646
841,20220314,34569
842,20220315,34338
843,20220316,34434
844,20220317,35392
845,20220318,35204
846,20220321,35219
847,20220322,35026
848,20220323,35652
849,20220324,35296
850,20220325,35300
851,20220328,35021
852,20220329,35493
853,20220330,35787
854,20220331,35685
855,20220401,35344
856,20220404,35252
857,20220405,35584
858,20220406,35339
859,20220407,34959
860,20220408,34824
861,20220411,34646
862,20220412,34603
863,20220413,34569
864,20220414,34949
865,20220415,34448
866,20220418,34420
867,20220419,34896
868,20220420,34718
869,20220421,35098
870,20220422,34603
871,20220425,34256
872,20220426,34193
873,20220427,33606
874,20220428,33906
875,20220429,34453
876,20220502,34409
877,20220503,34550
878,20220504,34687
879,20220506,34013
880,20220509,34052
881,20220510,33242
882,20220511,33461
883,20220512,33178
884,20220513,33295
885,20220516,33945
886,20220517,33886
887,20220518,34311
888,20220519,33437
889,20220520,33867
890,20220523,34262
891,20220524,34179
892,20220525,33701
893,20220526,34028
894,20220527,34072
895,20220530,34311
896,20220531,34418
897,20220602,34311
898,20220603,34506
899,20220607,34057
900,20220608,33891
901,20220609,33710
902,20220610,33471
903,20220613,32680
904,20220614,31967
905,20220615,31894
906,20220616,32026
907,20220617,31020
908,20220620,30961
909,20220621,30830
910,20220622,30805
911,20220623,30273
912,20220624,30092
913,20220627,30551
914,20220628,31000
915,20220629,30830
916,20220630,30390
917,20220701,30332
918,20220704,29990
919,20220705,30097
920,20220706,29941
921,20220707,29965
922,20220708,30468
923,20220711,30498
924,20220712,29995
925,20220713,30083
926,20220714,29951
927,20220715,29897
928,20220718,30493
929,20220719,30615
930,20220720,31206
931,20220721,31079
932,20220722,31308
933,20220725,31293
934,20220726,31088
935,20220727,31289
936,20220728,31577
937,20220729,31817
938,20220801,31518
939,20220802,31567
940,20220803,31523
941,20220804,31832
942,20220805,32062
943,20220808,31920
944,20220809,32027
945,20220810,31876
946,20220811,32184
947,20220812,32424
948,20220816,32507
949,20220817,32624
950,20220818,31998
951,20220819,32032
952,20220822,31562
953,20220823,31411
954,20220824,31396
955,20220825,31474
956,20220826,31832
957,20220829,30995
958,20220830,31147
959,20220831,30985
960,20220901,31029
961,20220902,30912
962,20220905,30912
963,20220906,30804
964,20220907,30388
965,20220908,30354
966,20220913,30926
967,20220914,30290
968,20220915,30608
969,20220916,30148
970,20220919,30178
971,20220920,30349
972,20220921,29967
973,20220922,29444
974,20220923,29409
975,20220926,28724
976,20220927,28470
977,20220928,28259
978,20220929,28142
979,20220930,27775
980,20221004,28191
981,20221005,28666
982,20221006,28597
983,20221007,28387
984,20221011,27843
985,20221012,27956
986,20221013,28039
987,20221014,28230
988,20221017,28054
989,20221018,28803
990,20221019,28783
991,20221020,28470
992,20221021,28338
993,20221024,28861
994,20221025,28759
995,20221026,28670
