Date,Price,Open,High,Low,High-low,Change %
02/18/2021,662.50 ,644.00 ,665.75 ,641.50 ,24.25 ,0.03 
02/17/2021,644.00 ,660.00 ,661.25 ,638.50 ,22.75 ,(0.02)
02/16/2021,657.50 ,648.00 ,660.25 ,640.50 ,19.75 ,0.03 
02/15/2021,637.75 ,637.50 ,637.75 ,637.50 ,0.25 ,0.00 
02/14/2021,637.25 ,637.50 ,637.50 ,637.25 ,0.25 ,0.00 
02/12/2021,636.75 ,632.50 ,643.00 ,632.00 ,11.00 ,0.01 
02/11/2021,633.50 ,636.50 ,644.75 ,632.00 ,12.75 ,(0.00)
02/10/2021,635.50 ,649.50 ,650.50 ,626.75 ,23.75 ,(0.02)
02/09/2021,649.50 ,657.75 ,660.50 ,639.75 ,20.75 ,(0.01)
02/08/2021,655.75 ,643.00 ,657.50 ,642.50 ,15.00 ,0.02 
02/05/2021,641.25 ,634.75 ,647.50 ,632.25 ,15.25 ,0.01 
02/04/2021,637.50 ,647.25 ,650.50 ,633.00 ,17.50 ,(0.02)
02/03/2021,648.25 ,646.25 ,649.75 ,625.75 ,24.00 ,0.01 
02/02/2021,644.75 ,655.00 ,656.75 ,640.50 ,16.25 ,(0.01)
02/01/2021,651.00 ,663.50 ,671.00 ,646.00 ,25.00 ,(0.02)
01/29/2021,663.00 ,646.25 ,664.75 ,643.00 ,21.75 ,0.02 
01/28/2021,647.00 ,655.00 ,664.50 ,643.50 ,21.00 ,(0.02)
01/27/2021,658.25 ,663.25 ,672.75 ,652.50 ,20.25 ,(0.01)
01/26/2021,665.25 ,646.75 ,667.75 ,641.25 ,26.50 ,0.03 
01/25/2021,648.50 ,633.00 ,651.50 ,624.25 ,27.25 ,0.02 
01/22/2021,634.50 ,658.50 ,659.00 ,633.00 ,26.00 ,(0.04)
01/21/2021,660.75 ,666.50 ,674.75 ,657.75 ,17.00 ,(0.01)
01/20/2021,667.75 ,675.25 ,676.00 ,656.50 ,19.50 ,(0.01)
01/19/2021,672.25 ,683.75 ,691.25 ,668.75 ,22.50 ,(0.00)
01/15/2021,675.50 ,671.00 ,693.00 ,664.50 ,28.50 ,0.01 
01/14/2021,670.00 ,660.00 ,673.25 ,653.00 ,20.25 ,0.01 
01/13/2021,660.50 ,665.00 ,680.75 ,656.25 ,24.50 ,(0.01)
01/12/2021,665.00 ,636.25 ,670.00 ,634.00 ,36.00 ,0.05 
01/11/2021,634.75 ,639.00 ,651.50 ,628.75 ,22.75 ,(0.01)
01/08/2021,638.75 ,644.75 ,649.50 ,634.00 ,15.50 ,(0.01)
01/07/2021,642.25 ,646.75 ,648.25 ,638.00 ,10.25 ,(0.01)
01/06/2021,647.50 ,654.00 ,660.25 ,646.00 ,14.25 ,(0.01)
01/05/2021,654.00 ,641.50 ,664.50 ,639.50 ,25.00 ,0.02 
01/04/2021,642.00 ,643.00 ,650.25 ,634.00 ,16.25 ,0.00 
01/01/2021,641.75 ,641.75 ,641.75 ,641.75 ,0.00 ,0.00 
