date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2018-07-27,297.78,0.83,0.28,10.18,1.06,1.74
2018-07-30,297.29,-0.49,-0.16,10.16,1.06,1.74
2018-07-31,297.45,0.16,0.05,10.17,1.06,1.74
2018-08-01,298.69,1.24,0.42,10.21,1.07,1.74
2018-08-02,293.55,-5.14,-1.72,10.04,1.05,1.77
2018-08-03,295.61,2.06,0.7,10.11,1.06,1.75
2018-08-06,295.24,-0.37,-0.13,10.09,1.05,1.76
2018-08-07,297.18,1.94,0.66,10.15,1.06,1.75
2018-08-08,297.19,0.01,0.0,10.15,1.06,1.75
2018-08-09,297.41,0.22,0.07,10.16,1.06,1.74
2018-08-10,293.64,-3.77,-1.27,10.03,1.05,1.77
2018-08-13,289.85,-3.79,-1.29,9.9,1.03,1.79
2018-08-14,291.08,1.23,0.42,9.94,1.04,1.78
2018-08-16,288.24,-2.84,-0.98,9.85,1.03,1.8
2018-08-17,288.57,0.33,0.11,9.86,1.03,1.8
2018-08-20,288.61,0.04,0.01,9.86,1.03,1.8
2018-08-21,291.93,3.32,1.15,9.97,1.04,1.78
2018-08-22,293.0,1.07,0.37,10.01,1.05,1.77
2018-08-23,294.29,1.29,0.44,10.05,1.05,1.76
2018-08-24,295.54,1.25,0.42,10.1,1.05,1.76
2018-08-27,296.83,1.29,0.44,10.14,1.06,1.75
2018-08-28,297.22,0.39,0.13,10.15,1.06,1.75
2018-08-29,298.05,0.83,0.28,10.18,1.06,1.74
2018-08-30,298.05,0.0,0.0,10.18,1.06,1.74
2018-08-31,300.07,2.02,0.68,10.25,1.07,1.73
2018-09-03,297.49,-2.58,-0.86,10.16,1.06,1.74
2018-09-04,298.8,1.31,0.44,10.21,1.07,1.74
2018-09-05,294.96,-3.84,-1.29,10.08,1.05,1.76
2018-09-06,294.28,-0.68,-0.23,10.05,1.05,1.76
2018-09-07,292.86,-1.42,-0.48,10.0,1.05,1.77
2018-09-10,293.7,0.84,0.29,9.95,1.02,1.76
2018-09-11,292.46,-1.24,-0.42,9.91,1.02,1.77
2018-09-12,292.35,-0.11,-0.04,9.9,1.02,1.77
2018-09-13,292.42,0.07,0.02,9.91,1.02,1.77
2018-09-14,297.29,4.87,1.67,10.07,1.03,1.74
2018-09-17,295.23,-2.06,-0.69,10.0,1.03,1.75
2018-09-18,296.1,0.87,0.29,10.04,1.03,1.75
2018-09-19,296.64,0.54,0.18,10.06,1.03,1.74
2018-09-20,299.04,2.4,0.81,10.14,1.04,1.73
2018-09-21,300.81,1.77,0.59,10.2,1.05,1.72
2018-09-27,302.59,1.78,0.59,10.26,1.05,1.71
2018-09-28,300.51,-2.08,-0.69,10.19,1.05,1.72
2018-10-01,300.17,-0.34,-0.11,10.18,1.04,1.72
2018-10-02,296.53,-3.64,-1.21,10.05,1.03,1.74
2018-10-04,291.78,-4.75,-1.6,9.89,1.02,1.77
2018-10-05,291.28,-0.5,-0.17,9.87,1.01,1.78
2018-10-08,289.91,-1.37,-0.47,9.83,1.01,1.78
2018-10-10,287.85,-2.06,-0.71,9.76,1.0,1.8
2018-10-11,275.15,-12.7,-4.41,9.33,0.96,1.88
2018-10-12,279.37,4.22,1.53,9.47,0.97,1.85
2018-10-15,277.19,-2.18,-0.78,9.4,0.97,1.87
2018-10-16,276.9,-0.29,-0.1,9.39,0.96,1.87
2018-10-17,280.05,3.15,1.14,9.5,0.98,1.85
2018-10-18,277.48,-2.57,-0.92,9.41,0.97,1.86
2018-10-19,278.63,1.15,0.41,9.45,0.97,1.86
2018-10-22,279.4,0.77,0.28,9.48,0.97,1.85
2018-10-23,272.54,-6.86,-2.46,9.24,0.95,1.9
2018-10-24,271.36,-1.18,-0.43,9.2,0.95,1.91
2018-10-25,266.72,-4.64,-1.71,9.05,0.93,1.94
2018-10-26,262.69,-4.03,-1.51,8.91,0.91,1.97
2018-10-29,260.19,-2.5,-0.95,8.82,0.91,1.99
2018-10-30,262.47,2.28,0.88,8.9,0.91,1.97
2018-10-31,264.01,1.54,0.59,8.95,0.92,1.96
2018-11-01,262.95,-1.06,-0.4,8.92,0.92,1.97
2018-11-02,272.56,9.61,3.65,9.24,0.95,1.9
2018-11-05,270.07,-2.49,-0.91,9.16,0.94,1.91
2018-11-06,271.57,1.5,0.56,9.21,0.95,1.9
2018-11-07,270.45,-1.12,-0.41,9.17,0.94,1.91
2018-11-08,272.11,1.66,0.61,9.23,0.95,1.9
2018-11-09,271.33,-0.78,-0.29,9.2,0.95,1.91
2018-11-12,271.57,0.24,0.09,9.21,0.95,1.9
2018-11-13,269.7,-1.87,-0.69,9.15,0.94,1.92
2018-11-14,268.88,-0.82,-0.3,9.12,0.94,1.92
2018-11-15,271.54,2.66,0.99,9.21,0.95,1.9
2018-11-16,271.65,0.11,0.04,9.21,0.95,1.9
2018-11-19,272.31,0.66,0.24,9.24,0.95,1.9
2018-11-20,269.58,-2.73,-1.0,9.14,0.94,1.92
2018-11-21,268.27,-1.31,-0.49,9.1,0.93,1.93
2018-11-22,267.76,-0.51,-0.19,9.08,0.93,1.93
2018-11-23,266.33,-1.43,-0.53,9.03,0.93,1.94
2018-11-26,269.79,3.46,1.3,9.15,0.94,1.92
2018-11-27,272.08,2.29,0.85,9.23,0.95,1.9
2018-11-28,273.45,1.37,0.5,9.27,0.95,1.89
2018-11-29,274.16,0.71,0.26,9.3,0.95,1.89
2018-11-30,271.35,-2.81,-1.02,9.2,0.95,1.91
2018-12-03,276.18,4.83,1.78,9.37,0.96,1.87
2018-12-04,273.29,-2.89,-1.05,9.27,0.95,1.89
2018-12-05,271.49,-1.8,-0.66,9.21,0.95,1.9
2018-12-06,267.18,-4.31,-1.59,9.06,0.93,1.93
2018-12-07,268.28,1.1,0.41,8.94,0.91,1.93
2018-12-10,265.35,-2.93,-1.09,8.84,0.9,1.95
2018-12-11,264.69,-0.66,-0.25,8.82,0.9,1.95
2018-12-12,268.47,3.78,1.43,8.71,0.9,1.96
2018-12-13,269.41,0.94,0.35,8.74,0.9,1.96
2018-12-14,265.55,-3.86,-1.43,8.65,0.89,1.98
2018-12-17,266.33,0.78,0.29,8.68,0.89,1.97
2018-12-18,265.18,-1.15,-0.43,8.64,0.89,1.98
2018-12-19,267.31,2.13,0.8,8.71,0.9,1.97
2018-12-20,264.81,-2.5,-0.94,8.63,0.89,1.99
2018-12-21,265.06,0.25,0.09,8.64,0.89,1.98
2018-12-24,264.45,-0.61,-0.23,8.62,0.89,1.99
2018-12-26,260.98,-3.47,-1.31,8.5,0.87,2.01
2018-12-27,260.57,-0.41,-0.16,8.49,0.87,2.02
2018-12-28,261.98,1.41,0.54,8.53,0.88,2.01
2019-01-02,258.23,-3.75,-1.43,8.41,0.86,2.04
2019-01-03,255.77,-2.46,-0.95,8.33,0.86,2.06
