date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2019-07-11,271.78,3.03,1.13,10.82,0.9,2.29
2019-07-12,272.68,0.9,0.33,10.86,0.9,2.28
2019-07-15,272.64,-0.04,-0.01,10.86,0.9,2.28
2019-07-16,274.05,1.41,0.52,10.91,0.91,2.27
2019-07-17,271.48,-2.57,-0.94,10.81,0.9,2.29
2019-07-18,270.67,-0.81,-0.3,10.78,0.9,2.3
2019-07-19,274.55,3.88,1.43,10.93,0.91,2.27
2019-07-22,274.55,0.0,0.0,10.93,0.91,2.27
2019-07-23,275.92,1.37,0.5,10.99,0.91,2.26
2019-07-24,273.22,-2.7,-0.98,10.88,0.9,2.28
2019-07-25,273.04,-0.18,-0.07,10.87,0.9,2.28
2019-07-26,272.25,-0.79,-0.29,10.84,0.9,2.29
2019-07-29,267.75,-4.5,-1.65,10.66,0.89,2.33
2019-07-30,268.95,1.2,0.45,10.71,0.89,2.31
2019-07-31,266.34,-2.61,-0.97,10.61,0.88,2.34
2019-08-01,265.73,-0.61,-0.23,10.58,0.88,2.34
2019-08-02,262.99,-2.74,-1.03,10.47,0.87,2.37
2019-08-05,257.19,-5.8,-2.21,10.24,0.85,2.42
2019-08-06,253.41,-3.78,-1.47,10.09,0.84,2.46
2019-08-07,252.0,-1.41,-0.56,10.03,0.83,2.47
2019-08-08,252.4,0.4,0.16,10.05,0.84,2.47
2019-08-09,254.85,2.45,0.97,10.15,0.84,2.44
2019-08-12,255.35,0.5,0.2,10.17,0.85,2.44
2019-08-13,252.83,-2.52,-0.99,10.07,0.84,2.46
2019-08-14,254.86,2.03,0.8,10.15,0.84,2.44
2019-08-16,253.9,-0.96,-0.38,10.11,0.84,2.45
2019-08-19,255.11,1.21,0.48,10.16,0.84,2.44
2019-08-20,258.05,2.94,1.15,10.28,0.85,2.41
2019-08-21,258.38,0.33,0.13,10.29,0.86,2.41
2019-08-22,256.28,-2.1,-0.81,10.2,0.85,2.43
2019-08-23,256.11,-0.17,-0.07,10.2,0.85,2.43
2019-08-26,252.19,-3.92,-1.53,10.04,0.83,2.47
2019-08-27,253.5,1.31,0.52,10.09,0.84,2.46
2019-08-28,255.53,2.03,0.8,10.18,0.85,2.44
2019-08-29,254.31,-1.22,-0.48,10.13,0.84,2.45
2019-08-30,259.0,4.69,1.84,10.31,0.86,2.4
2019-09-02,259.08,0.08,0.03,10.32,0.86,2.4
