,date,T10Y3M
639,2023-06-16,-1.57
640,2023-06-19,-1.57
641,2023-06-20,-1.65
642,2023-06-21,-1.68
643,2023-06-22,-1.6
644,2023-06-23,-1.67
645,2023-06-26,-1.78
646,2023-06-27,-1.67
647,2023-06-28,-1.73
648,2023-06-29,-1.61
649,2023-06-30,-1.62
650,2023-07-03,-1.58
651,2023-07-04,-1.58
652,2023-07-05,-1.49
653,2023-07-06,-1.41
654,2023-07-07,-1.4
655,2023-07-10,-1.47
656,2023-07-11,-1.5
657,2023-07-12,-1.61
658,2023-07-13,-1.71
659,2023-07-14,-1.66
660,2023-07-17,-1.68
661,2023-07-18,-1.69
662,2023-07-19,-1.74
663,2023-07-20,-1.64
664,2023-07-21,-1.66
665,2023-07-24,-1.65
666,2023-07-25,-1.6
667,2023-07-26,-1.65
668,2023-07-27,-1.5
669,2023-07-28,-1.56
670,2023-07-31,-1.58
671,2023-08-01,-1.49
672,2023-08-02,-1.45
673,2023-08-03,-1.34
674,2023-08-04,-1.49
675,2023-08-07,-1.47
676,2023-08-08,-1.55
677,2023-08-09,-1.55
678,2023-08-10,-1.45
679,2023-08-11,-1.38
680,2023-08-14,-1.37
681,2023-08-15,-1.35
682,2023-08-16,-1.28
683,2023-08-17,-1.26
684,2023-08-18,-1.29
685,2023-08-21,-1.23
686,2023-08-22,-1.23
687,2023-08-23,-1.38
688,2023-08-24,-1.35
689,2023-08-25,-1.36
690,2023-08-28,-1.38
691,2023-08-29,-1.44
692,2023-08-30,-1.44
693,2023-08-31,-1.47
694,2023-09-01,-1.35
695,2023-09-04,-1.35
696,2023-09-05,-1.28
697,2023-09-06,-1.25
698,2023-09-07,-1.26
699,2023-09-08,-1.29
700,2023-09-11,-1.26
701,2023-09-12,-1.29
702,2023-09-13,-1.3
703,2023-09-14,-1.26
704,2023-09-15,-1.23
705,2023-09-18,-1.23
706,2023-09-19,-1.17
707,2023-09-20,-1.21
708,2023-09-21,-1.08
709,2023-09-22,-1.12
710,2023-09-25,-1.03
711,2023-09-26,-1.02
712,2023-09-27,-0.97
713,2023-09-28,-0.97
714,2023-09-29,-0.96
715,2023-10-02,-0.93
716,2023-10-03,-0.81
717,2023-10-04,-0.88
718,2023-10-05,-0.89
719,2023-10-06,-0.85
720,2023-10-09,-0.85
721,2023-10-10,-0.95
722,2023-10-11,-1.03
723,2023-10-12,-0.93
724,2023-10-13,-0.99
725,2023-10-16,-0.9
726,2023-10-17,-0.79
727,2023-10-18,-0.7
728,2023-10-19,-0.62
729,2023-10-20,-0.65
730,2023-10-23,-0.72
731,2023-10-24,-0.75
