date,close
20230118,31118
20230119,31055
20230120,31271
20230125,32022
20230126,31968
20230127,32562
20230130,32641
20230131,32109
20230201,31853
20230202,32454
20230203,32286
20230206,31986
20230207,31809
20230208,32232
20230209,32222
20230210,32203
20230213,32060
20230214,32331
20230215,32030
20230216,32025
20230217,32143
20230220,31740
20230221,32060
20230222,31661
20230223,31681
20230224,31912
20230227,31159
20230228,31563
20230302,31755
20230303,31563
20230306,31774
20230307,31952
20230308,31469
20230309,31499
20230310,30928
20230313,30952
20230314,30716
20230315,30780
20230316,30460
20230317,30943
20230320,31203
20230321,31016
20230322,31139
20230323,31164
20230324,31390
20230327,31075
20230328,31366
20230329,31494
20230330,31651
20230331,31971
20230403,32080
20230404,32207
20230405,32262
20230406,32035
20230407,32148
20230410,32439
20230411,32714
20230412,33113
20230413,33064
20230414,33335
20230417,33226
20230418,33221
20230419,33315
20230420,33275
20230421,32995
20230424,32926
20230425,32852
20230426,32458
20230427,32135
20230428,32624
20230502,32789
20230503,32689
20230504,32504
20230508,32894
20230509,32754
20230510,32694
20230511,32739
20230512,32350
20230515,32300
20230516,32659
20230517,32579
20230518,32839
20230519,33248
20230522,33622
20230523,33752
20230524,33657
20230525,33632
20230526,33657
20230530,33991
20230531,34136
20230601,33941
20230602,34036
20230605,34385
20230607,34485
20230608,34131
20230609,34390
20230612,34665
20230613,34580
20230614,34565
20230615,34545
20230616,34375
20230619,34281
20230620,34106
20230621,34081
20230622,33996
20230623,33996
20230626,33857
20230627,33881
20230628,33936
20230629,34006
20230630,33592
20230703,34241
20230704,34370
20230705,34196
20230706,33762
20230707,33308
20230710,33123
20230711,33547
20230712,33772
20230713,34291
20230714,34460
20230717,34650
20230718,34540
20230719,34485
20230720,34256
20230721,33886
20230724,34330
20230725,34480
20230726,34340
20230727,34306
20230728,34340
20230731,34745
20230801,34960
20230802,35000
20230803,34460
20230804,34185
20230807,34200
20230808,34160
20230809,34155
20230810,34040
20230811,34280
20230814,33985
20230816,33375
20230817,32710
20230818,32830
20230821,33115
20230822,33110
20230823,33025
20230824,33385
20230825,33075
20230828,33220
20230829,33435
20230830,33760
20230831,33615
20230901,33750
20230904,34010
20230905,34120
20230906,34090
20230907,33740
20230908,33595
20230911,33750
20230912,33840
20230913,33795
20230914,33825
20230915,34280
20230918,34355
20230919,34230
20230920,33965
20230921,33700
20230922,32965
20230925,33245
20230926,32895
20230927,32660
20231004,32150
20231005,32005
20231006,32155
20231010,32645
20231011,32725
20231012,32960
20231013,32790
20231016,32670
20231017,32780
20231018,32905
20231019,32545
20231020,31965
20231023,31840
20231024,31805
20231025,32040
20231026,31340
