date,open,high,low,close,volume
20200324,7438,7898,7370,7898,8892773
20200325,8063,8189,7879,8111,7893632
20200326,8121,8697,8034,8184,9907141
20200327,8538,8562,8029,8286,16095080
20200330,8077,8567,8077,8499,12856883
20200331,8615,9075,8605,8998,19324444
20200401,8964,9172,8654,8668,13058997
20200402,8746,8954,8508,8896,12540612
20200403,8877,9046,8809,8954,10307377
20200406,9066,9352,9037,9313,14387788
20200407,9400,9468,9182,9352,9526946
20200408,9313,9453,9226,9308,9300271
20200409,9468,9468,9318,9385,8653269
20200410,9395,9410,9109,9313,11023225
20200413,9264,9356,9119,9119,6679076
20200414,9206,9415,9182,9361,9704310
20200416,9255,9633,9255,9604,10536724
20200417,9788,9788,9604,9739,8510449
20200420,9763,9831,9662,9710,8652813
20200421,9696,9788,9293,9613,9446246
20200422,9502,9788,9444,9710,5912741
20200423,9754,9841,9696,9763,4688432
20200424,9725,9817,9565,9618,6956950
20200427,9681,9851,9662,9802,3680233
20200428,9827,9910,9680,9753,6675211
20200429,9802,9822,9724,9748,3580164
20200504,9626,9822,9577,9670,4359252
20200506,9778,9984,9738,9944,4525542
20200507,9905,10101,9905,10052,5939604
20200508,10121,10396,10101,10361,9665523
20200511,10425,10518,10234,10396,9124311
20200512,10415,10440,10248,10346,9789353
20200513,10224,10523,10224,10503,8316881
20200514,10445,10533,10361,10464,9200711
20200515,10548,10557,10371,10469,5889449
20200518,10533,10543,10332,10366,2878567
20200519,10479,10498,9778,10454,4454910
20200520,10449,10660,10440,10621,6194042
20200521,10704,10734,10650,10714,5376781
20200522,10719,10734,10508,10572,3997863
20200525,10641,10739,10543,10739,3787153
20200526,10778,10896,10700,10866,7470283
20200527,10788,10901,10734,10798,3790822
20200528,10827,10842,10400,10523,6968163
20200529,10523,10704,10454,10675,8714058
20200601,10729,11175,10700,11126,8781062
20200602,11131,11602,11111,11283,7109519
20200603,11376,11494,11156,11249,5593201
20200604,11347,11401,11175,11293,6955504
20200605,11327,11474,11219,11445,6658057
20200608,11538,11607,11401,11499,7733249
20200609,11587,11587,11386,11504,2901452
20200610,11538,11705,11484,11641,6219283
20200611,11651,11852,11548,11646,5880285
20200612,11322,11533,11219,11464,7116131
20200615,11376,11484,10660,10660,8001861
20200616,10989,11469,10989,11435,7784811
20200617,11376,11538,11151,11386,7864487
20200618,11298,11469,11288,11347,6973462
20200619,11425,11455,11209,11381,4717731
20200622,11371,11666,11352,11612,6042358
20200623,11700,11813,11489,11646,6703741
20200624,11749,11852,11597,11675,5246510
20200625,11553,11685,11494,11538,5118729
20200626,11680,11695,11464,11616,4884731
20200629,11518,11582,11308,11332,6031537
20200630,11474,11489,11278,11401,5627262
20200701,11479,11479,11170,11185,3016884
20200702,11263,11460,11244,11406,4677753
20200703,11435,11577,11342,11553,4782685
20200706,11567,11690,11514,11661,4482783
20200707,11719,11813,11626,11675,5743434
20200708,11705,11793,11656,11764,5230803
20200709,11808,11921,11788,11842,4446006
20200710,11847,11921,11729,11862,6344422
20200713,11960,11979,11857,11970,3700315
20200714,11891,11999,11852,11906,4838061
20200715,11984,11994,11842,11945,3747734
20200716,11945,11955,11700,11818,5515279
20200717,11827,11994,11818,11965,5348828
20200720,12004,12038,11886,11940,2180879
20200721,12014,12190,12014,12092,3216488
20200722,12107,12205,11999,12156,3039278
20200723,12171,12367,12107,12328,2762401
20200724,12239,12381,12131,12225,4496174
20200727,12195,12396,12195,12328,3104971
20200728,12381,12529,12377,12504,3367593
20200729,12484,12514,12381,12470,2837294
20200730,12524,12529,12381,12460,2927748
20200731,12504,12529,12435,12475,2226230
20200803,12484,12710,12426,12695,3697837
20200804,12754,12823,12720,12788,3340379
20200805,12833,13107,12818,13107,3921539
20200806,13166,13274,13102,13244,4752068
20200807,13343,13362,13156,13347,4281113
20200810,13392,13475,13289,13396,3228069
20200811,13387,13460,13313,13352,3445457
20200812,13298,13328,12926,13073,6022051
20200813,13191,13490,13191,13357,8044714
20200814,13298,13333,12896,12936,5902773
20200818,12980,13004,12416,12499,5693963
20200819,12617,12813,12573,12808,7774069
20200820,12739,12798,12229,12362,14106500
20200821,12509,12568,12175,12416,12428844
20200824,12460,12788,12293,12779,6261552
20200825,12862,13068,12823,13024,5348345
20200826,13078,13132,12837,13048,5979429
20200827,13068,13117,12911,13004,4187426
20200828,13078,13313,12999,13088,6881457
20200831,13210,13294,13014,13176,4536644
20200901,13210,13289,13146,13215,3682663
20200902,13328,13573,13289,13529,7463075
20200903,13583,13632,13509,13563,3673543
20200904,13063,13382,13043,13338,4599453
20200907,13328,13573,13289,13558,4756951
20200908,13588,13750,13509,13593,6273609
20200909,13431,13558,13372,13372,2884688
20200910,13490,13534,13367,13514,2238415
20200911,13450,13519,13269,13509,4798273
20200914,13544,13617,13465,13612,2059690
20200915,13671,13803,13602,13759,4346292
20200916,13759,13911,13686,13725,4901891
20200917,13710,13754,13475,13519,8924467
20200918,13539,13696,13465,13666,5731648
20200921,13656,13799,13200,13298,7372744
20200922,13313,13406,12813,12872,12805316
20200923,12994,13058,12602,12950,14907370
20200924,12735,12739,12264,12278,13786412
20200925,12421,12499,12161,12254,13881484
20200928,12416,12803,12416,12803,5302006
20200929,12877,12975,12769,12965,8066275
20201005,12975,13112,12833,13048,8008563
20201006,13073,13156,12936,13024,6692779
20201007,12896,13141,12896,13141,5859703
20201008,13200,13200,13039,13102,6283052
20201012,13156,13186,13024,13151,4169618
20201013,13220,13230,12921,13043,5389947
20201014,13039,13073,12793,12847,9855012
20201015,12798,12818,12406,12529,12706579
20201016,12538,12592,12215,12426,13506382
20201019,12494,12602,12200,12283,13655435
20201020,12200,12401,11974,12401,12736402
20201021,12391,12519,12215,12489,10419860
20201022,12377,12391,12092,12117,11299307
20201023,12146,12195,11921,12028,13164871
20201026,11984,12058,11533,11607,15639863
20201027,11533,11940,11440,11744,18951147
20201028,11715,12107,11715,12097,8348110
20201029,11911,12357,11876,12357,13620003
20201030,12298,12328,11822,11862,15474414
20201102,11867,12146,11808,12033,13342991
20201103,12092,12391,12092,12298,15872602
20201104,12391,12641,12215,12543,13346983
20201105,12666,12828,12632,12788,12281801
20201106,12823,12842,12470,12529,10957173
20201109,12656,12788,12632,12715,10041348
20201110,12607,12627,12367,12450,7852136
20201111,12430,12602,12278,12529,7219711
20201112,12582,12685,12386,12494,9255423
20201113,12421,12529,12225,12529,9373246
20201116,12597,12725,12533,12632,9248442
20201117,12632,12646,12421,12499,8243621
20201118,12499,12725,12430,12685,9136934
20201119,12646,12877,12558,12877,6426747
20201120,12872,13083,12847,13029,11065666
20201123,13019,13176,12975,13073,5450719
20201124,13083,13137,12887,12955,5618777
20201125,13029,13210,12784,12906,12867538
20201126,12931,13166,12798,13132,9332717
20201127,13092,13392,13092,13357,11116197
20201130,13421,13499,13303,13303,6691120
20201201,13377,13470,13244,13436,5476783
20201202,13465,13627,13352,13593,11453311
20201203,13593,13823,13573,13803,9705607
20201204,13833,14112,13818,14063,9459872
20201207,14171,14593,14098,14559,12180463
20201208,14529,14711,13911,13965,14849176
20201209,14049,14215,13877,14103,10806145
20201210,13897,14387,13897,14338,9443928
20201211,14402,14485,14338,14397,9648563
20201214,14485,14686,14348,14461,9366173
20201215,14510,14544,14230,14470,13358978
20201216,14549,14657,14407,14588,7477610
20201217,14544,14809,14544,14652,7263817
20201218,14691,14735,14617,14676,5675036
20201221,14725,14990,14617,14951,10423822
20201222,14912,14995,14475,14475,10339422
20201223,14573,14681,14304,14402,15698731
20201224,14436,14666,14309,14544,7860507
20201228,14666,14823,14573,14823,11310195
20201229,14902,15216,14716,15191,12366323
20201230,15176,15275,15054,15162,8234011
20210104,15147,15147,14863,15103,5883819
20210105,14990,15186,14774,15113,10822676
20210106,15113,15206,14956,14985,11559217
20210107,15073,15206,14936,15064,6074895
20210108,15157,15181,14975,15172,5688755
20210111,15245,15539,14769,15167,10200896
20210112,15108,15275,14823,15123,8933783
20210113,15132,15245,15020,15123,5433865
20210114,15059,15103,14917,14946,4158426
20210115,14946,15020,14554,14647,7755452
20210118,14510,14740,14191,14240,4703961
20210119,14284,14627,14132,14475,5948641
20210120,14554,14921,14539,14804,6383868
20210121,14941,14951,14686,14804,5167061
20210122,14804,14863,14647,14760,4850081
20210125,14799,15265,14779,15230,7752038
20210126,15216,15417,14980,15064,7457274
20210127,15137,15157,14843,14887,8302112
